Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Passenger Load,Remarks
Vehicle,1 Lane Right,3rd Lane,,14:09:55,Moderate (34 - 80 %),,,starting to move right because of route,,
Vehicle,2 Lane Right,1st Lane,,14:10:06,Moderate (34 - 80 %),,,turning right,,
Vehicle,Stop,1st Lane,,14:10:17,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,14:10:18,Moderate (34 - 80 %),,,,13,
Vehicle,Go,1st Lane,,14:10:36,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:10:47,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,Sudden Break,14:10:48,Moderate (34 - 80 %),,pedestrian,,11,
Vehicle,Go,1st Lane,,14:10:52,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,14:11:10,Moderate (34 - 80 %),,,overtake,,
Stoplight,Stop,2nd Lane,,14:11:21,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,2nd Lane,,14:11:27,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Right,1st Lane,,14:11:31,Moderate (34 - 80 %),,,overtake,,
Vehicle,Stop,1st Lane,,14:11:33,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,1st Lane,,14:11:44,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:11:51,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,1st Lane,,14:12:27,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:12:38,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,14:12:48,Moderate (34 - 80 %),,,,,
